	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	3097.11178406	3008.44479248	0.0005	100	100	0.05
1	2872.34623591	2862.94395269	0.0005	100	100	0.05
2	2823.33514638	2818.60281961	0.0005	100	100	0.05
3	2799.35796857	2791.18899939	0.0005	100	100	0.05
4	2783.4193617	2778.67019122	0.0005	100	100	0.05
5	2772.95235909	2765.6060602	0.0005	100	100	0.05
6	2763.61091817	2764.26616323	0.0005	100	100	0.05
7	2757.03062049	2754.44841257	0.0005	100	100	0.05
8	2752.41493449	2751.13730039	0.0005	100	100	0.05
9	2747.79318822	2744.1753938	0.0005	100	100	0.05
10	2743.78220952	2752.77514602	0.0005	100	100	0.05
11	2739.72442855	2739.50521938	0.0005	100	100	0.05
12	2736.36563496	2736.38136306	0.0005	100	100	0.05
13	2734.00085194	2735.72911827	0.0005	100	100	0.05
14	2730.78856597	2731.89314763	0.0005	100	100	0.05
15	2727.94358679	2730.78813215	0.0005	100	100	0.05
16	2725.64573141	2728.62590934	0.0005	100	100	0.05
17	2723.51539383	2722.788725	0.0005	100	100	0.05
18	2721.36835055	2723.88602134	0.0005	100	100	0.05
19	2719.04761889	2717.13309305	0.0005	100	100	0.05
20	2717.8332068	2716.45714188	0.0005	100	100	0.05
21	2715.49449365	2716.50303005	0.0005	100	100	0.05
22	2714.54627867	2713.74808002	0.0005	100	100	0.05
23	2712.4038959	2716.50959431	0.0005	100	100	0.05
24	2710.33932445	2709.66562817	0.0005	100	100	0.05
25	2709.28798839	2709.21594495	0.0005	100	100	0.05
26	2707.75152917	2708.7129149	0.0005	100	100	0.05
27	2706.47750654	2706.40728025	0.0005	100	100	0.05
28	2705.1382882	2706.1235599	0.0005	100	100	0.05
29	2703.92821073	2705.22266419	0.0005	100	100	0.05
30	2702.62851816	2704.7899583	0.0005	100	100	0.05
31	2701.22719169	2701.1287312	0.0005	100	100	0.05
32	2700.10840194	2700.39474645	0.0005	100	100	0.05
33	2699.07730727	2701.76769903	0.0005	100	100	0.05
34	2698.30281294	2700.36524931	0.0005	100	100	0.05
