	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	3021.66091907	3136.36212963	0.001	128	10	0.05
1	2829.61478515	2833.24861498	0.001	128	10	0.05
2	2791.1975384	2801.10044169	0.001	128	10	0.05
3	2771.99458808	2789.41891124	0.001	128	10	0.05
4	2759.68190754	2771.91453118	0.001	128	10	0.05
5	2751.0125052	2750.89639335	0.001	128	10	0.05
6	2744.06266714	2745.45991379	0.001	128	10	0.05
7	2738.86912556	2743.93797054	0.001	128	10	0.05
8	2734.20255953	2737.5827464	0.001	128	10	0.05
9	2730.40076886	2739.21868465	0.001	128	10	0.05
