	loss	val_loss	learning_rate	batch_size	epochs	kappa
0	2861.22585122	2797.81298361	0.002	50	50	1.0
1	2760.74127788	2760.46462435	0.002	50	50	1.0
2	2741.06840871	2740.16964179	0.002	50	50	1.0
3	2730.2912525	2729.43244867	0.002	50	50	1.0
4	2722.68442419	2725.35524562	0.002	50	50	1.0
5	2716.64462548	2713.92158324	0.002	50	50	1.0
6	2711.93705669	2711.0295933	0.002	50	50	1.0
7	2708.59491043	2709.6254542	0.002	50	50	1.0
8	2706.3449893	2706.3544217	0.002	50	50	1.0
9	2704.04439822	2702.01635275	0.002	50	50	1.0
10	2701.03182016	2698.95562289	0.002	50	50	1.0
11	2700.01136744	2706.55284548	0.002	50	50	1.0
12	2698.08295835	2697.43350552	0.002	50	50	1.0
13	2696.24039018	2708.06932613	0.002	50	50	1.0
14	2695.48226361	2696.85540293	0.002	50	50	1.0
15	2694.20014658	2695.14756177	0.002	50	50	1.0
16	2693.31353637	2690.47770104	0.002	50	50	1.0
17	2692.39070032	2691.59061725	0.002	50	50	1.0
18	2691.54157155	2693.63405328	0.002	50	50	1.0
19	2690.5078582	2689.52807944	0.002	50	50	1.0
20	2689.62891131	2689.989663	0.002	50	50	1.0
21	2689.37872067	2686.64779797	0.002	50	50	1.0
22	2688.37478805	2691.65378665	0.002	50	50	1.0
23	2687.45423179	2688.31980928	0.002	50	50	1.0
24	2687.31781935	2687.36522504	0.002	50	50	1.0
25	2686.55001553	2683.66608518	0.002	50	50	1.0
26	2685.99050754	2682.77824376	0.002	50	50	1.0
27	2685.6853406	2692.95975508	0.002	50	50	1.0
28	2686.88264806	2686.72169696	0.002	50	50	1.0
29	2685.48665114	2687.48699473	0.002	50	50	1.0
30	2685.03773787	2687.67057961	0.002	50	50	1.0
31	2684.66852109	2685.0610809	0.002	50	50	1.0
32	2683.80474492	2683.90726764	0.002	50	50	1.0
33	2684.04819548	2683.00669263	0.002	50	50	1.0
34	2683.75396692	2681.75902247	0.002	50	50	1.0
35	2683.74918663	2680.10711051	0.002	50	50	1.0
36	2683.72863984	2684.34286773	0.002	50	50	1.0
37	2683.8189153	2678.58589409	0.002	50	50	1.0
38	2683.11521155	2682.24682477	0.002	50	50	1.0
39	2683.93588255	2680.2208511	0.002	50	50	1.0
40	2682.90763187	2680.72031147	0.002	50	50	1.0
41	2683.11451049	2683.86966718	0.002	50	50	1.0
42	2681.96807617	2681.26495886	0.002	50	50	1.0
43	2682.48311959	2681.03331329	0.002	50	50	1.0
44	2682.45458427	2681.62117497	0.002	50	50	1.0
45	2681.36020175	2681.55270263	0.002	50	50	1.0
46	2682.01302626	2680.20018037	0.002	50	50	1.0
47	2681.94706054	2680.2315032	0.002	50	50	1.0
48	2681.16967413	2679.14576549	0.002	50	50	1.0
49	2681.24565555	2678.96900254	0.002	50	50	1.0
