	loss	val_loss	learning_rate	batch_size	epochs	sparsity	noise	seed
0	5.57572894581	4.21112840399	1.1	100	100	0.001	0.05	2951
1	6.10445640898	4.46021779409	1.1	100	100	0.001	0.05	2951
2	6.47077996032	5.34551373996	1.1	100	100	0.001	0.05	2951
3	6.82032798798	5.09168346753	1.1	100	100	0.001	0.05	2951
4	7.13793102357	5.17199302221	1.1	100	100	0.001	0.05	2951
5	7.3840592939	5.09762578576	1.1	100	100	0.001	0.05	2951
6	7.68828376813	5.74154869092	1.1	100	100	0.001	0.05	2951
7	7.97356738066	6.22417320713	1.1	100	100	0.001	0.05	2951
8	8.22293816874	6.22066205592	1.1	100	100	0.001	0.05	2951
9	8.43050103244	5.74505415565	1.1	100	100	0.001	0.05	2951
10	8.68378834239	5.91088821373	1.1	100	100	0.001	0.05	2951
11	8.95558373643	6.63570403551	1.1	100	100	0.001	0.05	2951
12	9.09520653125	7.55374241924	1.1	100	100	0.001	0.05	2951
13	9.36100640109	6.16058144743	1.1	100	100	0.001	0.05	2951
14	9.56653061903	8.09856104577	1.1	100	100	0.001	0.05	2951
15	9.79111056609	6.06384110861	1.1	100	100	0.001	0.05	2951
16	10.002906923	7.49671564139	1.1	100	100	0.001	0.05	2951
17	10.2226837374	7.18437143995	1.1	100	100	0.001	0.05	2951
18	10.3950109465	6.48409947291	1.1	100	100	0.001	0.05	2951
19	10.5738915021	6.63999848794	1.1	100	100	0.001	0.05	2951
20	10.720960374	7.61239067364	1.1	100	100	0.001	0.05	2951
21	10.9255917124	6.84700590748	1.1	100	100	0.001	0.05	2951
22	11.1287144549	6.05942995826	1.1	100	100	0.001	0.05	2951
23	11.3002225045	7.99752750998	1.1	100	100	0.001	0.05	2951
24	11.41531622	8.12577726371	1.1	100	100	0.001	0.05	2951
25	11.6075592392	8.54167548739	1.1	100	100	0.001	0.05	2951
26	11.8247375967	8.09570302425	1.1	100	100	0.001	0.05	2951
27	11.9216262864	5.88807732471	1.1	100	100	0.001	0.05	2951
28	12.0518044909	11.2768011048	1.1	100	100	0.001	0.05	2951
29	12.237312116	8.35099571795	1.1	100	100	0.001	0.05	2951
30	12.3420637112	9.08032275158	1.1	100	100	0.001	0.05	2951
31	12.4926436504	10.7275827018	1.1	100	100	0.001	0.05	2951
32	12.6957635713	7.71335103635	1.1	100	100	0.001	0.05	2951
33	12.788004495	9.3582633303	1.1	100	100	0.001	0.05	2951
34	12.9446389782	9.0920260568	1.1	100	100	0.001	0.05	2951
35	13.0794566807	9.41840707367	1.1	100	100	0.001	0.05	2951
36	13.258140967	10.729184592	1.1	100	100	0.001	0.05	2951
37	13.3455897223	11.0189035035	1.1	100	100	0.001	0.05	2951
38	13.4709332575	10.5140814134	1.1	100	100	0.001	0.05	2951
39	13.6500845328	11.0634028624	1.1	100	100	0.001	0.05	2951
40	13.7545870544	11.151058487	1.1	100	100	0.001	0.05	2951
41	13.8579345164	9.15543655775	1.1	100	100	0.001	0.05	2951
42	13.8880551057	9.90108072689	1.1	100	100	0.001	0.05	2951
43	14.079261783	8.30501370494	1.1	100	100	0.001	0.05	2951
44	14.0611308023	8.37647729348	1.1	100	100	0.001	0.05	2951
45	14.1906544019	9.47025971294	1.1	100	100	0.001	0.05	2951
46	14.3273061646	9.20538772999	1.1	100	100	0.001	0.05	2951
47	14.4778399895	8.67090863525	1.1	100	100	0.001	0.05	2951
48	14.616599202	9.09116836716	1.1	100	100	0.001	0.05	2951
49	14.6765796175	9.95767009327	1.1	100	100	0.001	0.05	2951
50	14.8494502343	7.94258719785	1.1	100	100	0.001	0.05	2951
51	15.035464248	9.53115758932	1.1	100	100	0.001	0.05	2951
52	15.0896721511	9.851032103	1.1	100	100	0.001	0.05	2951
53	15.21644945	9.79539466497	1.1	100	100	0.001	0.05	2951
54	15.2473353695	6.7061771567	1.1	100	100	0.001	0.05	2951
55	15.4030177682	8.8696868251	1.1	100	100	0.001	0.05	2951
56	15.5042495581	8.30767303124	1.1	100	100	0.001	0.05	2951
57	15.5191220629	7.98976849051	1.1	100	100	0.001	0.05	2951
58	15.6692499967	9.2592731288	1.1	100	100	0.001	0.05	2951
59	15.7481263421	8.16133051712	1.1	100	100	0.001	0.05	2951
60	15.8509517109	9.25221875247	1.1	100	100	0.001	0.05	2951
61	15.979605349	9.65728292866	1.1	100	100	0.001	0.05	2951
62	16.0436751817	8.48997781655	1.1	100	100	0.001	0.05	2951
63	16.1333158503	8.60539638472	1.1	100	100	0.001	0.05	2951
64	16.1807944207	7.75717226953	1.1	100	100	0.001	0.05	2951
65	16.3882367997	8.14755601044	1.1	100	100	0.001	0.05	2951
66	16.2838379114	10.6404306091	1.1	100	100	0.001	0.05	2951
67	16.5597660441	8.31721945064	1.1	100	100	0.001	0.05	2951
68	16.6495810166	8.74052451081	1.1	100	100	0.001	0.05	2951
69	16.6611416529	8.9540134698	1.1	100	100	0.001	0.05	2951
70	16.6838331162	10.0993119362	1.1	100	100	0.001	0.05	2951
71	16.8684451376	9.80358351895	1.1	100	100	0.001	0.05	2951
72	16.9327376969	10.0313210834	1.1	100	100	0.001	0.05	2951
73	16.9083286961	8.4718926778	1.1	100	100	0.001	0.05	2951
74	17.0739929447	9.43080256774	1.1	100	100	0.001	0.05	2951
75	17.3014688105	10.8362569545	1.1	100	100	0.001	0.05	2951
76	17.2814434093	8.94703241243	1.1	100	100	0.001	0.05	2951
77	17.3049813401	7.54431755912	1.1	100	100	0.001	0.05	2951
78	17.3085243168	11.3466148841	1.1	100	100	0.001	0.05	2951
79	17.5710620589	13.9588515243	1.1	100	100	0.001	0.05	2951
80	17.539626429	9.96427022248	1.1	100	100	0.001	0.05	2951
81	17.5644314883	11.5332922206	1.1	100	100	0.001	0.05	2951
82	17.693496657	10.280281086	1.1	100	100	0.001	0.05	2951
83	17.8009720221	9.6037338131	1.1	100	100	0.001	0.05	2951
84	17.8892730978	8.74263581172	1.1	100	100	0.001	0.05	2951
85	17.9084445529	10.0795694464	1.1	100	100	0.001	0.05	2951
86	17.9964586544	14.9185932699	1.1	100	100	0.001	0.05	2951
87	18.1551336736	10.4518415322	1.1	100	100	0.001	0.05	2951
88	18.1543685208	9.0928165124	1.1	100	100	0.001	0.05	2951
89	18.0803865066	9.68300588181	1.1	100	100	0.001	0.05	2951
90	18.2723115701	12.0615337684	1.1	100	100	0.001	0.05	2951
91	18.2812590925	10.0387912517	1.1	100	100	0.001	0.05	2951
92	18.3607782065	9.65696777851	1.1	100	100	0.001	0.05	2951
93	18.3239769389	10.169261193	1.1	100	100	0.001	0.05	2951
94	18.490813707	12.1082450856	1.1	100	100	0.001	0.05	2951
95	18.695993174	9.74887637472	1.1	100	100	0.001	0.05	2951
96	18.6750103673	10.9383708524	1.1	100	100	0.001	0.05	2951
97	18.4592200637	8.68492044682	1.1	100	100	0.001	0.05	2951
98	18.8352870968	11.7260946744	1.1	100	100	0.001	0.05	2951
99	18.7552979355	12.5424486073	1.1	100	100	0.001	0.05	2951
