	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	3022.82579663	2949.54208975	0.0005	100	10	0.01	4714	2
1	2838.59352396	2844.62062648	0.0005	100	10	0.01	4714	2
2	2797.23130663	2799.18549506	0.0005	100	10	0.01	4714	2
3	2776.86078992	2781.55249817	0.0005	100	10	0.01	4714	2
4	2763.15661993	2765.858946	0.0005	100	10	0.01	4714	2
5	2752.60817888	2754.55571028	0.0005	100	10	0.01	4714	2
6	2744.85676503	2748.24419991	0.0005	100	10	0.01	4714	2
7	2737.7380529	2738.47324303	0.0005	100	10	0.01	4714	2
8	2731.53534896	2731.52191571	0.0005	100	10	0.01	4714	2
9	2727.26440645	2729.6080642	0.0005	100	10	0.01	4714	2
