	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2896.165094	2855.16148385	0.002	100	50	1.0	6245	2
1	2768.58895332	2764.91167011	0.002	100	50	1.0	6245	2
2	2740.41261309	2726.48006169	0.002	100	50	1.0	6245	2
3	2725.91059489	2712.34006595	0.002	100	50	1.0	6245	2
4	2715.06753485	2700.27197686	0.002	100	50	1.0	6245	2
5	2707.85189747	2692.78379924	0.002	100	50	1.0	6245	2
6	2702.91642555	2692.17235488	0.002	100	50	1.0	6245	2
7	2698.16145139	2688.00907101	0.002	100	50	1.0	6245	2
8	2695.25171887	2684.03591388	0.002	100	50	1.0	6245	2
9	2692.72610599	2676.59239859	0.002	100	50	1.0	6245	2
10	2690.1701746	2677.23232945	0.002	100	50	1.0	6245	2
11	2687.21495663	2676.83509164	0.002	100	50	1.0	6245	2
12	2685.22995982	2671.84075403	0.002	100	50	1.0	6245	2
13	2683.9194399	2669.77659779	0.002	100	50	1.0	6245	2
14	2681.86759553	2667.6194926	0.002	100	50	1.0	6245	2
15	2679.96628717	2668.44731744	0.002	100	50	1.0	6245	2
16	2678.92835187	2665.85614235	0.002	100	50	1.0	6245	2
17	2677.68022444	2666.1348968	0.002	100	50	1.0	6245	2
18	2676.41754547	2662.93447695	0.002	100	50	1.0	6245	2
19	2675.02798482	2662.66570146	0.002	100	50	1.0	6245	2
20	2674.58769722	2662.28911478	0.002	100	50	1.0	6245	2
21	2673.70414786	2660.86748299	0.002	100	50	1.0	6245	2
22	2672.73810675	2659.26469418	0.002	100	50	1.0	6245	2
23	2672.43320195	2660.42577238	0.002	100	50	1.0	6245	2
24	2671.30969022	2659.92587555	0.002	100	50	1.0	6245	2
25	2670.6053331	2658.60260161	0.002	100	50	1.0	6245	2
26	2670.402215	2659.69522381	0.002	100	50	1.0	6245	2
27	2670.41204318	2657.00579822	0.002	100	50	1.0	6245	2
28	2668.91515116	2655.93163922	0.002	100	50	1.0	6245	2
29	2668.42977664	2655.54121215	0.002	100	50	1.0	6245	2
30	2667.83059582	2657.04699217	0.002	100	50	1.0	6245	2
31	2667.67601087	2657.716331	0.002	100	50	1.0	6245	2
32	2667.05759338	2655.88398886	0.002	100	50	1.0	6245	2
33	2666.91202923	2654.31062343	0.002	100	50	1.0	6245	2
34	2666.44379264	2656.78034813	0.002	100	50	1.0	6245	2
35	2666.07669253	2655.69139271	0.002	100	50	1.0	6245	2
36	2666.07814484	2655.0716317	0.002	100	50	1.0	6245	2
37	2665.69761325	2653.45526858	0.002	100	50	1.0	6245	2
38	2665.20734272	2653.99087624	0.002	100	50	1.0	6245	2
39	2664.39855217	2652.75907335	0.002	100	50	1.0	6245	2
40	2664.56391546	2651.85923682	0.002	100	50	1.0	6245	2
41	2664.31545197	2652.53117624	0.002	100	50	1.0	6245	2
42	2663.96939395	2653.43111687	0.002	100	50	1.0	6245	2
43	2664.02742644	2651.27541537	0.002	100	50	1.0	6245	2
44	2663.56776691	2653.15240864	0.002	100	50	1.0	6245	2
45	2663.60287818	2651.24081322	0.002	100	50	1.0	6245	2
46	2663.08545002	2652.88412983	0.002	100	50	1.0	6245	2
47	2662.98462184	2652.04602681	0.002	100	50	1.0	6245	2
48	2662.69383401	2651.9114073	0.002	100	50	1.0	6245	2
49	2662.35692742	2651.45078162	0.002	100	50	1.0	6245	2
