	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2949.55684827	2910.88771725	0.001	128	10	0.1	5448	2	300
1	2777.76196258	2826.83628901	0.001	128	10	0.1	5448	2	300
2	2745.0453622	2775.21132215	0.001	128	10	0.1	5448	2	300
3	2727.70734576	2733.31092219	0.001	128	10	0.1	5448	2	300
4	2716.01740941	2718.38896596	0.001	128	10	0.1	5448	2	300
5	2707.65150652	2714.19036854	0.001	128	10	0.1	5448	2	300
6	2701.96758361	2702.05857088	0.001	128	10	0.1	5448	2	300
7	2696.94193478	2701.81174284	0.001	128	10	0.1	5448	2	300
8	2692.82721598	2695.4074707	0.001	128	10	0.1	5448	2	300
9	2689.22391599	2691.34584737	0.001	128	10	0.1	5448	2	300
