	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2859.09430188	2810.40620892	0.001	50	100	0.1	9459	2	300
1	2743.43594046	2752.35954165	0.001	50	100	0.1	9459	2	300
2	2720.48406148	2719.93723299	0.001	50	100	0.1	9459	2	300
3	2707.8182895	2706.76507837	0.001	50	100	0.1	9459	2	300
4	2699.17203633	2701.16310928	0.001	50	100	0.1	9459	2	300
5	2693.66728563	2693.84010096	0.001	50	100	0.1	9459	2	300
6	2688.74058255	2691.621245	0.001	50	100	0.1	9459	2	300
7	2685.65337125	2686.82359509	0.001	50	100	0.1	9459	2	300
8	2682.39448752	2685.30214433	0.001	50	100	0.1	9459	2	300
9	2680.08174356	2681.62288162	0.001	50	100	0.1	9459	2	300
10	2678.12091352	2680.56723577	0.001	50	100	0.1	9459	2	300
11	2675.93592674	2680.83588568	0.001	50	100	0.1	9459	2	300
12	2674.74573053	2677.62611474	0.001	50	100	0.1	9459	2	300
13	2673.22429614	2677.7957612	0.001	50	100	0.1	9459	2	300
14	2671.95321796	2674.48751242	0.001	50	100	0.1	9459	2	300
15	2670.74598619	2673.90764062	0.001	50	100	0.1	9459	2	300
16	2669.41607601	2673.53184751	0.001	50	100	0.1	9459	2	300
17	2668.91215352	2673.72543422	0.001	50	100	0.1	9459	2	300
18	2668.10508294	2670.49156711	0.001	50	100	0.1	9459	2	300
19	2666.95598417	2670.26842118	0.001	50	100	0.1	9459	2	300
20	2666.10181642	2669.06264284	0.001	50	100	0.1	9459	2	300
21	2665.60268895	2670.93068507	0.001	50	100	0.1	9459	2	300
22	2664.9401953	2671.41856206	0.001	50	100	0.1	9459	2	300
23	2664.27859324	2669.88866767	0.001	50	100	0.1	9459	2	300
24	2663.89706634	2667.82299291	0.001	50	100	0.1	9459	2	300
25	2663.4402404	2667.745387	0.001	50	100	0.1	9459	2	300
26	2662.8857662	2666.97603361	0.001	50	100	0.1	9459	2	300
27	2662.09111555	2666.13181586	0.001	50	100	0.1	9459	2	300
28	2662.20521377	2665.94796117	0.001	50	100	0.1	9459	2	300
29	2661.29470066	2665.81123308	0.001	50	100	0.1	9459	2	300
30	2661.14067018	2664.73781818	0.001	50	100	0.1	9459	2	300
31	2660.73323724	2663.89603017	0.001	50	100	0.1	9459	2	300
32	2660.25456291	2664.93945079	0.001	50	100	0.1	9459	2	300
33	2660.0976937	2666.35507056	0.001	50	100	0.1	9459	2	300
34	2659.7003398	2666.72216377	0.001	50	100	0.1	9459	2	300
35	2659.44745979	2665.3953505	0.001	50	100	0.1	9459	2	300
36	2659.08822407	2662.95153925	0.001	50	100	0.1	9459	2	300
37	2658.9049934	2664.72572458	0.001	50	100	0.1	9459	2	300
38	2658.72298515	2665.61790125	0.001	50	100	0.1	9459	2	300
39	2658.33450181	2662.16905641	0.001	50	100	0.1	9459	2	300
40	2658.18206962	2664.04906246	0.001	50	100	0.1	9459	2	300
41	2658.11749161	2663.67408534	0.001	50	100	0.1	9459	2	300
42	2657.79018732	2661.1202745	0.001	50	100	0.1	9459	2	300
43	2657.63025983	2662.3860993	0.001	50	100	0.1	9459	2	300
44	2657.63491839	2661.89476605	0.001	50	100	0.1	9459	2	300
45	2656.97129186	2661.52526552	0.001	50	100	0.1	9459	2	300
46	2656.96370138	2661.79355646	0.001	50	100	0.1	9459	2	300
47	2656.9139373	2661.006153	0.001	50	100	0.1	9459	2	300
48	2656.96387378	2661.10740834	0.001	50	100	0.1	9459	2	300
49	2656.71771811	2662.59302411	0.001	50	100	0.1	9459	2	300
50	2656.42555355	2660.50045	0.001	50	100	0.1	9459	2	300
51	2656.07339239	2659.91106139	0.001	50	100	0.1	9459	2	300
52	2655.86408969	2660.55741646	0.001	50	100	0.1	9459	2	300
53	2656.25412168	2660.08358946	0.001	50	100	0.1	9459	2	300
54	2655.95555951	2661.97653636	0.001	50	100	0.1	9459	2	300
55	2656.05063697	2661.11821961	0.001	50	100	0.1	9459	2	300
56	2655.33278066	2661.66123084	0.001	50	100	0.1	9459	2	300
57	2655.64099742	2659.36346937	0.001	50	100	0.1	9459	2	300
58	2655.28892488	2660.49150969	0.001	50	100	0.1	9459	2	300
59	2655.28879621	2658.94199443	0.001	50	100	0.1	9459	2	300
60	2655.16785097	2659.92746036	0.001	50	100	0.1	9459	2	300
61	2655.00222624	2658.6746245	0.001	50	100	0.1	9459	2	300
62	2655.09214321	2660.13308792	0.001	50	100	0.1	9459	2	300
63	2654.90609848	2660.54792298	0.001	50	100	0.1	9459	2	300
64	2655.05243911	2659.23571007	0.001	50	100	0.1	9459	2	300
65	2654.62994548	2659.0128741	0.001	50	100	0.1	9459	2	300
66	2654.56605035	2659.15453355	0.001	50	100	0.1	9459	2	300
67	2654.63563512	2658.68174892	0.001	50	100	0.1	9459	2	300
68	2654.44889576	2658.31486998	0.001	50	100	0.1	9459	2	300
69	2654.61502079	2661.41277878	0.001	50	100	0.1	9459	2	300
70	2654.54181784	2658.16149179	0.001	50	100	0.1	9459	2	300
71	2654.62406763	2660.80305927	0.001	50	100	0.1	9459	2	300
72	2654.01615164	2657.75217439	0.001	50	100	0.1	9459	2	300
73	2653.89157337	2659.6717639	0.001	50	100	0.1	9459	2	300
74	2654.00721124	2657.86174358	0.001	50	100	0.1	9459	2	300
75	2654.36925086	2658.00435252	0.001	50	100	0.1	9459	2	300
76	2653.91622543	2658.76083882	0.001	50	100	0.1	9459	2	300
77	2653.9739474	2657.74864392	0.001	50	100	0.1	9459	2	300
78	2654.02589662	2657.88883246	0.001	50	100	0.1	9459	2	300
79	2653.46581487	2658.24032587	0.001	50	100	0.1	9459	2	300
80	2653.84281678	2657.99139486	0.001	50	100	0.1	9459	2	300
81	2653.53865797	2658.53656881	0.001	50	100	0.1	9459	2	300
82	2653.26857331	2657.99759547	0.001	50	100	0.1	9459	2	300
83	2653.51290444	2658.60628333	0.001	50	100	0.1	9459	2	300
84	2653.59458593	2656.92947837	0.001	50	100	0.1	9459	2	300
85	2653.45385926	2656.86119088	0.001	50	100	0.1	9459	2	300
86	2653.30949733	2658.15286564	0.001	50	100	0.1	9459	2	300
87	2653.19268653	2657.083638	0.001	50	100	0.1	9459	2	300
88	2653.24943689	2657.76995044	0.001	50	100	0.1	9459	2	300
89	2653.23148575	2657.42825907	0.001	50	100	0.1	9459	2	300
90	2653.51389895	2658.78429779	0.001	50	100	0.1	9459	2	300
91	2653.12528312	2656.82654252	0.001	50	100	0.1	9459	2	300
92	2652.95736902	2658.73644436	0.001	50	100	0.1	9459	2	300
93	2653.05883854	2658.52905927	0.001	50	100	0.1	9459	2	300
94	2653.24165424	2657.87691998	0.001	50	100	0.1	9459	2	300
95	2652.9597556	2657.43793927	0.001	50	100	0.1	9459	2	300
96	2652.91101918	2657.06508565	0.001	50	100	0.1	9459	2	300
97	2652.6162646	2656.85270104	0.001	50	100	0.1	9459	2	300
98	2652.88221404	2661.17438456	0.001	50	100	0.1	9459	2	300
99	2653.23468883	2657.00936744	0.001	50	100	0.1	9459	2	300
