genes	encoding 53	direction
HCG22	0.0844510048628	positive
RXRG	0.0813290700316	positive
MGAT4C	0.0769662261009	positive
PLP1	0.0764400735497	positive
C10orf90	0.0760048627853	positive
PMP2	0.07139120996	positive
C18orf16	0.067063242197	positive
MOG	0.065694488585	positive
CMTM5	0.0643278881907	positive
MAG	0.0604131445289	positive
FAM181A	0.060397323221	positive
STK32A	0.058834053576	positive
FRMD1	-0.106690756977	negative
SMPX	-0.10114300251	negative
HSD17B2	-0.0930502191186	negative
SLC13A2	-0.0917145460844	negative
HNF4A	-0.089036539197	negative
SLC5A7	-0.0883761718869	negative
LOC283392	-0.0882661864161	negative
UNC93A	-0.0880113095045	negative
GDA	-0.0879761576653	negative
SERPINA6	-0.0873147770762	negative
TNNT2	-0.0870793759823	negative
SLC6A2	-0.0866016745567	negative
PLA2G4E	-0.0861857458949	negative
CYP2C18	-0.0861450210214	negative
ANKRD30A	-0.0857025757432	negative
UGT2B4	-0.0844733044505	negative
GSTA1	-0.0838248729706	negative
PRODH2	-0.0830597132444	negative
LYPD6B	-0.0827308893204	negative
GSTA2	-0.0823023691773	negative
DLK1	-0.0819413885474	negative
TRHDE	-0.0818578898907	negative
TAC1	-0.0812407657504	negative
LPA	-0.08121702075	negative
LDLRAD1	-0.0799578204751	negative
SULT2A1	-0.0796984061599	negative
DDC	-0.079628303647	negative
SPRR2F	-0.0792493522167	negative
SIM1	-0.0788331627846	negative
FGA	-0.0780993551016	negative
TFF1	-0.0776951834559	negative
SAA4	-0.0768744274974	negative
KCNB2	-0.0767067372799	negative
UGT3A1	-0.0766324922442	negative
EMX1	-0.0759862959385	negative
ABCG8	-0.0758573412895	negative
FGG	-0.0755885094404	negative
CYP2C19	-0.0752732977271	negative
HSPB3	-0.0752448067069	negative
PLA2G4D	-0.074899867177	negative
SERPINB7	-0.0748652592301	negative
AMTN	-0.0740283280611	negative
NRK	-0.0737637206912	negative
PSAPL1	-0.0734356567264	negative
CBLC	-0.0731746181846	negative
CYP3A7	-0.0730223432183	negative
AACSL	-0.0724675506353	negative
SULT1E1	-0.0722927078605	negative
OPRK1	-0.0718268975616	negative
ASPG	-0.0716931819916	negative
TRIM15	-0.0715896114707	negative
KRT20	-0.07156098634	negative
CYP4A11	-0.0713211447001	negative
KRT9	-0.0707769319415	negative
FAM25A	-0.0705307275057	negative
TAC3	-0.0702143311501	negative
SPRR1A	-0.0701484531164	negative
SPRR2G	-0.0701048523188	negative
ANKS4B	-0.0700565576553	negative
CYP4Z1	-0.0695373788476	negative
RBM24	-0.0693187117577	negative
AADAC	-0.0691568106413	negative
C20orf85	-0.0689897015691	negative
ZNF385B	-0.0685302466154	negative
ANKRD56	-0.0681586265564	negative
CCL11	-0.0678658857942	negative
CALML3	-0.0677721574903	negative
ACSM2B	-0.0677067860961	negative
BMP5	-0.0676406994462	negative
LY6D	-0.0674132704735	negative
UGT1A9	-0.0671692937613	negative
MUCL1	-0.067009665072	negative
SLC6A19	-0.0670078843832	negative
ADH6	-0.0667067393661	negative
TH	-0.06642293185	negative
EPN3	-0.0661694258451	negative
SCGB2A2	-0.0656955465674	negative
WIF1	-0.065556615591	negative
KIF12	-0.0652892589569	negative
VSNL1	-0.0648402050138	negative
ADH1A	-0.0647200495005	negative
TCF21	-0.0642112269998	negative
RNF186	-0.0640726536512	negative
SIX3	-0.0639745742083	negative
NTF3	-0.0637269169092	negative
NPHS1	-0.063662096858	negative
UGT1A6	-0.0635573044419	negative
IL20	-0.063524864614	negative
SCGB1A1	-0.0631539821625	negative
APCS	-0.0630542561412	negative
SERPINA4	-0.0629084184766	negative
ANKRD1	-0.0628286525607	negative
IGFL1	-0.0628137290478	negative
FGF19	-0.0628041774035	negative
SLCO1B3	-0.0625266209245	negative
HABP2	-0.062512204051	negative
C2CD4A	-0.0624180994928	negative
PHGR1	-0.0622870624065	negative
TM4SF5	-0.0622657500207	negative
KIAA1239	-0.0622381865978	negative
CREB3L3	-0.0621040016413	negative
SLC17A2	-0.0620975159109	negative
CYP2B6	-0.0618478655815	negative
PITX1	-0.0616861470044	negative
TINAG	-0.0614473000169	negative
UGT1A1	-0.0611726231873	negative
TMEM40	-0.0609937980771	negative
BMP3	-0.0607865080237	negative
PVALB	-0.0606927722692	negative
CYP2C9	-0.0606540739536	negative
MS4A8B	-0.0606052726507	negative
AKR1B10	-0.060557808727	negative
ADH1C	-0.0603707879782	negative
CCBE1	-0.06029156968	negative
C6orf141	-0.0601504072547	negative
SERPINA10	-0.0600171349943	negative
C6orf222	-0.0600081756711	negative
SLC5A8	-0.0599093176425	negative
FABP6	-0.0597450882196	negative
C1orf230	-0.0595846250653	negative
MAL2	-0.0595811977983	negative
CDHR2	-0.0592592917383	negative
SH3RF2	-0.059135235846	negative
UGT3A2	-0.0589714162052	negative
NGB	-0.0589020252228	negative
SERPINB5	-0.0588819533587	negative
MS4A15	-0.0588764734566	negative
KRT31	-0.0588437430561	negative
TYRP1	-0.0586223378778	negative
SLC18A2	-0.0585580952466	negative
C2orf54	-0.0584515072405	negative
KLK8	-0.0582778267562	negative
C11orf53	-0.0581982061267	negative
PRAP1	-0.0581519156694	negative
UGT1A3	-0.0581151507795	negative
