geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0021891	olfactory bulb interneuron development	http://amigo.geneontology.org/amigo/term/GO:0021891	7	3	0.1264851485148515	23.71819960861057	1.8812391293732134e-4	0.7786729770353812	6585;27164;170302	SALL3;ARX;SLIT1
GO:0021772	olfactory bulb development	http://amigo.geneontology.org/amigo/term/GO:0021772	20	4	0.3613861386138614	11.068493150684931	3.819520816066291e-4	0.7786729770353812	6585;27164;170302;389549	SALL3;FEZF1;ARX;SLIT1
GO:0021988	olfactory lobe development	http://amigo.geneontology.org/amigo/term/GO:0021988	20	4	0.3613861386138614	11.068493150684931	3.819520816066291e-4	0.7786729770353812	6585;27164;170302;389549	SALL3;FEZF1;ARX;SLIT1
GO:0021889	olfactory bulb interneuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0021889	10	3	0.1806930693069307	16.602739726027398	6.202424720502808e-4	0.9483507397648794	6585;27164;170302	SALL3;ARX;SLIT1
GO:0009953	dorsal/ventral pattern formation	http://amigo.geneontology.org/amigo/term/GO:0009953	42	5	0.7589108910891088	6.588388780169603	8.48009767615121e-4	1	4821;5081;5992;7080;221833	NKX2-1;SP8;RFX4;NKX2-2;PAX7
GO:1903861	positive regulation of dendrite extension	http://amigo.geneontology.org/amigo/term/GO:1903861	13	3	0.2349009900990099	12.771338250790306	0.0014216303842737865	1	5967;9362;59284	REG1A;CPNE6;CACNG7
GO:0021879	forebrain neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0021879	29	4	0.5240099009900989	7.633443552196506	0.0016557580868256094	1	6585;7080;27164;170302	SALL3;NKX2-1;ARX;SLIT1
GO:0007586	digestion	http://amigo.geneontology.org/amigo/term/GO:0007586	72	6	1.3009900990099008	4.611872146118722	0.001721684241576038	1	885;5225;5644;6476;170302;389015	ARX;CCK;SI;PGC;PRSS1;SLC9A4
GO:1903859	regulation of dendrite extension	http://amigo.geneontology.org/amigo/term/GO:1903859	14	3	0.252970297029703	11.859099804305284	0.0017859815371991106	1	5967;9362;59284	REG1A;CPNE6;CACNG7
GO:0021759	globus pallidus development	http://amigo.geneontology.org/amigo/term/GO:0021759	4	2	0.07227722772277227	27.67123287671233	0.001887627745440934	1	7080;170302	NKX2-1;ARX
