userId	geneSymbol	geneName	entrezgene	gLink
EPYC	EPYC	epiphycan	1833	https://www.ncbi.nlm.nih.gov/gene/?term=1833
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301	https://www.ncbi.nlm.nih.gov/gene/?term=1301
NETO1	NETO1	neuropilin and tolloid like 1	81832	https://www.ncbi.nlm.nih.gov/gene/?term=81832
SLC24A2	SLC24A2	solute carrier family 24 member 2	25769	https://www.ncbi.nlm.nih.gov/gene/?term=25769
MMP13	MMP13	matrix metallopeptidase 13	4322	https://www.ncbi.nlm.nih.gov/gene/?term=4322
LRRC15	LRRC15	leucine rich repeat containing 15	131578	https://www.ncbi.nlm.nih.gov/gene/?term=131578
COL10A1	COL10A1	collagen type X alpha 1 chain	1300	https://www.ncbi.nlm.nih.gov/gene/?term=1300
IGFL2	IGFL2	IGF like family member 2	147920	https://www.ncbi.nlm.nih.gov/gene/?term=147920
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336	https://www.ncbi.nlm.nih.gov/gene/?term=389336
CASP14	CASP14	caspase 14	23581	https://www.ncbi.nlm.nih.gov/gene/?term=23581
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798	https://www.ncbi.nlm.nih.gov/gene/?term=5798
SERPINB7	SERPINB7	serpin family B member 7	8710	https://www.ncbi.nlm.nih.gov/gene/?term=8710
PAEP	PAEP	progestagen associated endometrial protein	5047	https://www.ncbi.nlm.nih.gov/gene/?term=5047
CPN2	CPN2	carboxypeptidase N subunit 2	1370	https://www.ncbi.nlm.nih.gov/gene/?term=1370
ADAMTS16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690	https://www.ncbi.nlm.nih.gov/gene/?term=170690
OMD	OMD	osteomodulin	4958	https://www.ncbi.nlm.nih.gov/gene/?term=4958
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792	https://www.ncbi.nlm.nih.gov/gene/?term=81792
MMP8	MMP8	matrix metallopeptidase 8	4317	https://www.ncbi.nlm.nih.gov/gene/?term=4317
KLK4	KLK4	kallikrein related peptidase 4	9622	https://www.ncbi.nlm.nih.gov/gene/?term=9622
S100A7A	S100A7A	S100 calcium binding protein A7A	338324	https://www.ncbi.nlm.nih.gov/gene/?term=338324
FAP	FAP	fibroblast activation protein alpha	2191	https://www.ncbi.nlm.nih.gov/gene/?term=2191
MMP1	MMP1	matrix metallopeptidase 1	4312	https://www.ncbi.nlm.nih.gov/gene/?term=4312
SFRP2	SFRP2	secreted frizzled related protein 2	6423	https://www.ncbi.nlm.nih.gov/gene/?term=6423
GRP	GRP	gastrin releasing peptide	2922	https://www.ncbi.nlm.nih.gov/gene/?term=2922
CSMD2	CSMD2	CUB and Sushi multiple domains 2	114784	https://www.ncbi.nlm.nih.gov/gene/?term=114784
ITGA11	ITGA11	integrin subunit alpha 11	22801	https://www.ncbi.nlm.nih.gov/gene/?term=22801
GREM1	GREM1	gremlin 1, DAN family BMP antagonist	26585	https://www.ncbi.nlm.nih.gov/gene/?term=26585
MMP3	MMP3	matrix metallopeptidase 3	4314	https://www.ncbi.nlm.nih.gov/gene/?term=4314
NKX3-2	NKX3-2	NK3 homeobox 2	579	https://www.ncbi.nlm.nih.gov/gene/?term=579
PODNL1	PODNL1	podocan like 1	79883	https://www.ncbi.nlm.nih.gov/gene/?term=79883
CCL11	CCL11	C-C motif chemokine ligand 11	6356	https://www.ncbi.nlm.nih.gov/gene/?term=6356
INHBA	INHBA	inhibin subunit beta A	3624	https://www.ncbi.nlm.nih.gov/gene/?term=3624
CORIN	CORIN	corin, serine peptidase	10699	https://www.ncbi.nlm.nih.gov/gene/?term=10699
WNT2	WNT2	Wnt family member 2	7472	https://www.ncbi.nlm.nih.gov/gene/?term=7472
THBS2	THBS2	thrombospondin 2	7058	https://www.ncbi.nlm.nih.gov/gene/?term=7058
ROS1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6098	https://www.ncbi.nlm.nih.gov/gene/?term=6098
GJB2	GJB2	gap junction protein beta 2	2706	https://www.ncbi.nlm.nih.gov/gene/?term=2706
ADAM12	ADAM12	ADAM metallopeptidase domain 12	8038	https://www.ncbi.nlm.nih.gov/gene/?term=8038
MMP11	MMP11	matrix metallopeptidase 11	4320	https://www.ncbi.nlm.nih.gov/gene/?term=4320
S100A7	S100A7	S100 calcium binding protein A7	6278	https://www.ncbi.nlm.nih.gov/gene/?term=6278
GPR1	GPR1	G protein-coupled receptor 1	2825	https://www.ncbi.nlm.nih.gov/gene/?term=2825
PPEF1	PPEF1	protein phosphatase with EF-hand domain 1	5475	https://www.ncbi.nlm.nih.gov/gene/?term=5475
CTHRC1	CTHRC1	collagen triple helix repeat containing 1	115908	https://www.ncbi.nlm.nih.gov/gene/?term=115908
LCE3D	LCE3D	late cornified envelope 3D	84648	https://www.ncbi.nlm.nih.gov/gene/?term=84648
COL12A1	COL12A1	collagen type XII alpha 1 chain	1303	https://www.ncbi.nlm.nih.gov/gene/?term=1303
SERPINB4	SERPINB4	serpin family B member 4	6318	https://www.ncbi.nlm.nih.gov/gene/?term=6318
COL5A2	COL5A2	collagen type V alpha 2 chain	1290	https://www.ncbi.nlm.nih.gov/gene/?term=1290
CYP27C1	CYP27C1	cytochrome P450 family 27 subfamily C member 1	339761	https://www.ncbi.nlm.nih.gov/gene/?term=339761
KCND2	KCND2	potassium voltage-gated channel subfamily D member 2	3751	https://www.ncbi.nlm.nih.gov/gene/?term=3751
CTSK	CTSK	cathepsin K	1513	https://www.ncbi.nlm.nih.gov/gene/?term=1513
